table,question,date,response,Total (a),Male (b),Female (c),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),16-24 (d),18-24 (e),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th January 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th January 2021,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th January 2021,Mean,4.58,4.44,4.69,-,4.36,4,-,5,-,4.56,4.61,4.62,,,4.58,-,5,-,4,5,-,-,4,5,-,-,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 15th to 17th January 2021,Standard deviation Standard error,0.53,0.61,0.53,-,0.56,-,-,*,-,0.58,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th February 2021,Unweighted base,12,7,5,1,1,-,5,5,5,4,1,2,,,1,-,-,3,1,2,-,-,3,2,-,-,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th February 2021,Weighted base,9**,5**,3**,1**,***,-**,4**,3**,3**,2**,1**,2**,,,***,-**,-**,3**,1**,1**,-**,-**,2**,1**,-**,-**,8**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th February 2021,NET: Trust,4,2,2,1,*,-,1,2,1,2,-,*,,,*,-,-,*,1,1,-,-,1,*,-,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th February 2021,5 - Trust completely,3,2,2,1,-,-,1,2,1,2,-,*,,,*,-,-,-,1,1,-,-,1,*,-,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th February 2021,4,*,*,-,-,*,-,-,-,-,*,-,-,,,-,-,-,*,-,-,-,-,-,-,-,-,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th February 2021,3,4,3,2,-,-,-,3,2,2,-,1,2,,,-,-,-,3,-,-,-,-,1,1,-,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th February 2021,2,*,*,-,-,-,-,*,-,*,-,-,-,,,-,-,-,-,-,-,-,-,*,-,-,-,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th February 2021,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th February 2021,NET: Do not trust,*,*,-,-,-,-,*,-,*,-,-,-,,,-,-,-,-,-,-,-,-,*,-,-,-,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th February 2021,Mean,3.81,3.68,4.01,5,4,-,3.32,4.04,3.65,4.82,3,3.4,,,5,-,-,3.13,5,5,-,-,3.73,3.69,-,-,3.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 91,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 12th to 14th February 2021,Standard deviation Standard error,1.09,1.15,1.18,-,-,-,1.06,1.21,1.35,0.52,-,1.09,,,-,-,-,0.41,-,-,-,-,1.69,-,-,-,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,11,5,6,-,-,1,5,5,5,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,12**,5**,7**,-**,-**,1**,6**,4**,6**,1**,1**,4**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 9th August 2020,NET: Trust,7,3,4,-,-,1,3,3,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 9th August 2020,5 - Trust completely,4,2,2,-,-,-,1,3,2,1,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 9th August 2020,4,3,1,2,-,-,1,3,-,1,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 9th August 2020,3,4,2,2,-,-,-,3,1,3,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 9th August 2020,2,1,-,1,-,-,-,-,1,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 9th August 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 9th August 2020,NET: Do not trust,1,-,1,-,-,-,-,1,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 9th August 2020,Mean,3.84,4.01,3.71,-,-,4,3.68,4.03,3.83,5,4,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 89,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 7th to 9th August 2020,Standard deviation Standard error,1,0.98,1.08,-,-,-,0.77,1.44,0.94,-,-,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,9,5,4,2,1,-,1,5,3,3,1,2,,,-,-,1,-,1,1,1,2,1,2,-,-,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,8**,5**,3**,2**,1**,-**,1**,5**,2**,3**,1**,2**,,,-**,-**,1**,-**,1**,1**,1**,1**,1**,2**,-**,-**,7**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 9th to 11th October 2020,NET: Trust,7,5,2,2,1,-,1,3,1,3,1,2,,,-,-,1,-,1,1,1,-,1,2,-,-,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 9th to 11th October 2020,5 - Trust completely,7,5,2,2,1,-,1,3,1,3,1,2,,,-,-,1,-,1,1,1,-,1,2,-,-,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 9th to 11th October 2020,4,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 9th to 11th October 2020,3,1,-,1,-,-,-,-,1,1,-,-,-,,,-,-,-,-,-,-,-,1,-,-,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 9th to 11th October 2020,2,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 9th to 11th October 2020,1 - Do not trust at all,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 9th to 11th October 2020,NET: Do not trust,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 9th to 11th October 2020,Mean,4.65,5,4.14,5,5,-,5,4.35,3.74,5,5,5,,,-,-,5,-,5,5,5,3,5,5,-,-,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,Q5. Trust in the sources for information/news about Coronavirus used in last week: Other 2,ONLINE Fieldwork: 9th to 11th October 2020,Standard deviation Standard error,0.81,*,1.18,-,-,-,-,1.06,1.27,*,-,0,,,-,-,-,-,-,-,-,-,-,*,-,-,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
